Code,Experience,Fleet,PrimaryUse,Radius,SizeClass,Type
0047,,Fleet,Retail,50-200Miles,HeavyTruck,Commercial
0048,,Fleet,Retail,200PlusMiles,HeavyTruck,Commercial
0049,,NonFleet,Commercial,LessThan50Miles,HeavyTruck,Commercial
0050,,NonFleet,Commercial,50-200Miles,HeavyTruck,Commercial
0051,,NonFleet,Commercial,200PlusMiles,HeavyTruck,Commercial
0052,,Fleet,Commercial,LessThan50Miles,HeavyTruck,Commercial
0053,,Fleet,Commercial,50-200Miles,HeavyTruck,Commercial
0054,,Fleet,Commercial,200PlusMiles,HeavyTruck,Commercial
0055,,NonFleet,Service,LessThan50Miles,HeavyTruckTractor,Commercial
0056,,NonFleet,Service,50-200Miles,HeavyTruckTractor,Commercial
0057,,NonFleet,Service,200PlusMiles,HeavyTruckTractor,Commercial
0058,,Fleet,Service,LessThan50Miles,HeavyTruckTractor,Commercial
0059,,Fleet,Service,50-200Miles,HeavyTruckTractor,Commercial
0060,,Fleet,Service,200PlusMiles,HeavyTruckTractor,Commercial
0061,,NonFleet,Retail,LessThan50Miles,HeavyTruckTractor,Commercial
0062,,NonFleet,Retail,50-200Miles,HeavyTruckTractor,Commercial
0063,,NonFleet,Retail,200PlusMiles,HeavyTruckTractor,Commercial
0064,,Fleet,Retail,LessThan50Miles,HeavyTruckTractor,Commercial
0065,,Fleet,Retail,50-200Miles,HeavyTruckTractor,Commercial
0066,,Fleet,Retail,200PlusMiles,HeavyTruckTractor,Commercial
0067,,NonFleet,Commercial,LessThan50Miles,HeavyTruckTractor,Commercial
0068,,NonFleet,Commercial,50-200Miles,HeavyTruckTractor,Commercial
0069,,NonFleet,Commercial,200PlusMiles,HeavyTruckTractor,Commercial
0070,,Fleet,Commercial,LessThan50Miles,HeavyTruckTractor,Commercial
0071,,Fleet,Commercial,50-200Miles,HeavyTruckTractor,Commercial
0072,,Fleet,Commercial,200PlusMiles,HeavyTruckTractor,Commercial
0073,,NonFleet,,LessThan50Miles,ExtraHeavyTruck,Commercial
0074,,NonFleet,,50-200Miles,ExtraHeavyTruck,Commercial
0075,,NonFleet,,200PlusMiles,ExtraHeavyTruck,Commercial
0076,,Fleet,,LessThan50Miles,ExtraHeavyTruck,Commercial
0077,,Fleet,,50-200Miles,ExtraHeavyTruck,Commercial
0078,,Fleet,,200PlusMiles,ExtraHeavyTruck,Commercial
0079,,Fleet,Taxicab,200PlusMiles,,PublicTransport
0080,,,EmployerFurnishedVan,,01-Aug,PublicTransport
0081,,,EmployerFurnishedVan,,Sep-20,PublicTransport
0082,,,EmployerFurnishedVan,,21-60,PublicTransport
0083,,,EmployerFurnishedVan,,over60,PublicTransport
0084,,,OtherVan,,01-Aug,PublicTransport
0085,,,OtherVan,,Sep-20,PublicTransport
0086,,,OtherVan,,21-60,PublicTransport
0087,,,OtherVan,,over60,PublicTransport
0088,,NonFleet,Taxicab,LessThan50Miles,,PublicTransport
0089,,NonFleet,Taxicab,50-200Miles,,PublicTransport
0090,,NonFleet,Taxicab,200PlusMiles,,PublicTransport
0091,,Fleet,Taxicab,LessThan50Miles,,PublicTransport
0092,,Fleet,Taxicab,50-200Miles,,PublicTransport
0093,,Fleet,Limousine,200PlusMiles,,PublicTransport
0094,,NonFleet,Limousine,LessThan50Miles,,PublicTransport
0095,,NonFleet,Limousine,50-200Miles,,PublicTransport
0096,,NonFleet,Limousine,200PlusMiles,,PublicTransport
0097,,Fleet,Limousine,LessThan50Miles,,PublicTransport
0098,,Fleet,Limousine,50-200Miles,,PublicTransport
0099,,NonFleet,,LessThan50Miles,ExtraHeavyTruckTractor,Commercial
0100,,NonFleet,,50-200Miles,ExtraHeavyTruckTractor,Commercial
0101,,NonFleet,,200PlusMiles,ExtraHeavyTruckTractor,Commercial
0102,,Fleet,,LessThan50Miles,ExtraHeavyTruckTractor,Commercial
0103,,Fleet,,50-200Miles,ExtraHeavyTruckTractor,Commercial
0104,,Fleet,,200PlusMiles,ExtraHeavyTruckTractor,Commercial
0105,,NonFleet,UrbanBus,LessThan50Miles,01-Aug,PublicTransport
0106,,NonFleet,UrbanBus,LessThan50Miles,Sep-20,PublicTransport
0107,,NonFleet,UrbanBus,LessThan50Miles,21-60,PublicTransport
0108,,NonFleet,UrbanBus,LessThan50Miles,over60,PublicTransport
0109,,NonFleet,UrbanBus,LessThan50Miles,,PublicTransport
0110,,NonFleet,UrbanBus,50-200Miles,01-Aug,PublicTransport
0111,,NonFleet,UrbanBus,50-200Miles,Sep-20,PublicTransport
0112,,NonFleet,UrbanBus,50-200Miles,21-60,PublicTransport
0113,,NonFleet,UrbanBus,50-200Miles,over60,PublicTransport
0114,,NonFleet,UrbanBus,50-200Miles,,PublicTransport
0115,,Fleet,UrbanBus,LessThan50Miles,01-Aug,PublicTransport
0116,,Fleet,UrbanBus,LessThan50Miles,Sep-20,PublicTransport
0117,,Fleet,UrbanBus,LessThan50Miles,21-60,PublicTransport
0118,,Fleet,UrbanBus,LessThan50Miles,over60,PublicTransport
0119,,Fleet,UrbanBus,LessThan50Miles,,PublicTransport
0120,,Fleet,UrbanBus,50-200Miles,01-Aug,PublicTransport
0121,,Fleet,UrbanBus,50-200Miles,Sep-20,PublicTransport
0122,,Fleet,UrbanBus,50-200Miles,21-60,PublicTransport
0123,,Fleet,UrbanBus,50-200Miles,over60,PublicTransport
0124,,Fleet,UrbanBus,50-200Miles,,PublicTransport
0125,,Fleet,AirportBusLimo,200PlusMiles,,PublicTransport
0126,,NonFleet,AirportBusLimo,LessThan50Miles,01-Aug,PublicTransport
0127,,NonFleet,AirportBusLimo,LessThan50Miles,Sep-20,PublicTransport
0128,,NonFleet,AirportBusLimo,LessThan50Miles,21-60,PublicTransport
0129,,NonFleet,AirportBusLimo,LessThan50Miles,over60,PublicTransport
0130,,NonFleet,AirportBusLimo,LessThan50Miles,,PublicTransport
0131,,NonFleet,AirportBusLimo,50-200Miles,01-Aug,PublicTransport
0132,,NonFleet,AirportBusLimo,50-200Miles,Sep-20,PublicTransport
0133,,NonFleet,AirportBusLimo,50-200Miles,21-60,PublicTransport
0134,,NonFleet,AirportBusLimo,50-200Miles,over60,PublicTransport
0135,,NonFleet,AirportBusLimo,50-200Miles,,PublicTransport
0136,,NonFleet,AirportBusLimo,200PlusMiles,,PublicTransport
0137,,Fleet,AirportBusLimo,LessThan50Miles,01-Aug,PublicTransport
0138,,Fleet,AirportBusLimo,LessThan50Miles,Sep-20,PublicTransport
0139,,Fleet,AirportBusLimo,LessThan50Miles,21-60,PublicTransport
0140,,Fleet,AirportBusLimo,LessThan50Miles,over60,PublicTransport
0141,,Fleet,AirportBusLimo,LessThan50Miles,,PublicTransport
0142,,Fleet,AirportBusLimo,50-200Miles,01-Aug,PublicTransport
0143,,Fleet,AirportBusLimo,50-200Miles,Sep-20,PublicTransport
0144,,Fleet,AirportBusLimo,50-200Miles,21-60,PublicTransport
0145,,Fleet,AirportBusLimo,50-200Miles,over60,PublicTransport
0146,,Fleet,AirportBusLimo,50-200Miles,,PublicTransport
0147,,Fleet,InterCityBus,200PlusMiles,,PublicTransport
0148,,NonFleet,InterCityBus,LessThan50Miles,01-Aug,PublicTransport
0149,,NonFleet,InterCityBus,LessThan50Miles,Sep-20,PublicTransport
0150,,NonFleet,InterCityBus,LessThan50Miles,21-60,PublicTransport
0151,,NonFleet,InterCityBus,LessThan50Miles,over60,PublicTransport
0152,,NonFleet,InterCityBus,LessThan50Miles,,PublicTransport
0153,,NonFleet,InterCityBus,50-200Miles,01-Aug,PublicTransport
0154,,NonFleet,InterCityBus,50-200Miles,Sep-20,PublicTransport
0155,,NonFleet,InterCityBus,50-200Miles,21-60,PublicTransport
0156,,NonFleet,InterCityBus,50-200Miles,over60,PublicTransport
0157,,NonFleet,InterCityBus,50-200Miles,,PublicTransport
0158,,NonFleet,InterCityBus,200PlusMiles,,PublicTransport
0159,,Fleet,InterCityBus,LessThan50Miles,01-Aug,PublicTransport
0160,,Fleet,InterCityBus,LessThan50Miles,Sep-20,PublicTransport
0161,,Fleet,InterCityBus,LessThan50Miles,21-60,PublicTransport
0162,,Fleet,InterCityBus,LessThan50Miles,over60,PublicTransport
0163,,Fleet,InterCityBus,LessThan50Miles,,PublicTransport
0164,,Fleet,InterCityBus,50-200Miles,01-Aug,PublicTransport
0165,,Fleet,InterCityBus,50-200Miles,Sep-20,PublicTransport
0166,,Fleet,InterCityBus,50-200Miles,21-60,PublicTransport
0167,,Fleet,InterCityBus,50-200Miles,over60,PublicTransport
0168,,Fleet,InterCityBus,50-200Miles,,PublicTransport
0169,,Fleet,CharterBus,200PlusMiles,,PublicTransport
0170,,NonFleet,CharterBus,LessThan50Miles,01-Aug,PublicTransport
0171,,NonFleet,CharterBus,LessThan50Miles,Sep-20,PublicTransport
0172,,NonFleet,CharterBus,LessThan50Miles,21-60,PublicTransport
0173,,NonFleet,CharterBus,LessThan50Miles,over60,PublicTransport
0174,,NonFleet,CharterBus,LessThan50Miles,,PublicTransport
0175,,NonFleet,CharterBus,50-200Miles,01-Aug,PublicTransport
0176,,NonFleet,CharterBus,50-200Miles,Sep-20,PublicTransport
0177,,NonFleet,CharterBus,50-200Miles,21-60,PublicTransport
0178,,NonFleet,CharterBus,50-200Miles,over60,PublicTransport
0179,,NonFleet,CharterBus,50-200Miles,,PublicTransport
0180,,NonFleet,CharterBus,200PlusMiles,,PublicTransport
0181,,Fleet,CharterBus,LessThan50Miles,01-Aug,PublicTransport
0182,,Fleet,CharterBus,LessThan50Miles,Sep-20,PublicTransport
0183,,Fleet,CharterBus,LessThan50Miles,21-60,PublicTransport
0184,,Fleet,CharterBus,LessThan50Miles,over60,PublicTransport
0185,,Fleet,CharterBus,LessThan50Miles,,PublicTransport
0186,,Fleet,CharterBus,50-200Miles,01-Aug,PublicTransport
0187,,Fleet,CharterBus,50-200Miles,Sep-20,PublicTransport
0188,,Fleet,CharterBus,50-200Miles,21-60,PublicTransport
0189,,Fleet,CharterBus,50-200Miles,over60,PublicTransport
0190,,Fleet,CharterBus,50-200Miles,,PublicTransport
0191,,Fleet,SightseeingBus,200PlusMiles,,PublicTransport
0192,,NonFleet,SightseeingBus,LessThan50Miles,01-Aug,PublicTransport
0193,,NonFleet,SightseeingBus,LessThan50Miles,Sep-20,PublicTransport
0194,,NonFleet,SightseeingBus,LessThan50Miles,21-60,PublicTransport
0195,,NonFleet,SightseeingBus,LessThan50Miles,over60,PublicTransport
0196,,NonFleet,SightseeingBus,LessThan50Miles,,PublicTransport
0197,,NonFleet,SightseeingBus,50-200Miles,01-Aug,PublicTransport
0198,,NonFleet,SightseeingBus,50-200Miles,Sep-20,PublicTransport
0199,,NonFleet,SightseeingBus,50-200Miles,21-60,PublicTransport
0200,,NonFleet,SightseeingBus,50-200Miles,over60,PublicTransport
0201,,NonFleet,SightseeingBus,50-200Miles,,PublicTransport
0202,,NonFleet,SightseeingBus,200PlusMiles,,PublicTransport
0203,,Fleet,SightseeingBus,LessThan50Miles,01-Aug,PublicTransport
0204,,Fleet,SightseeingBus,LessThan50Miles,Sep-20,PublicTransport
0205,,Fleet,SightseeingBus,LessThan50Miles,21-60,PublicTransport
0206,,Fleet,SightseeingBus,LessThan50Miles,over60,PublicTransport
0207,,Fleet,SightseeingBus,LessThan50Miles,,PublicTransport
0208,,Fleet,SightseeingBus,50-200Miles,01-Aug,PublicTransport
0209,,Fleet,SightseeingBus,50-200Miles,Sep-20,PublicTransport
0210,,Fleet,SightseeingBus,50-200Miles,21-60,PublicTransport
0211,,Fleet,SightseeingBus,50-200Miles,over60,PublicTransport
0212,,Fleet,SightseeingBus,50-200Miles,,PublicTransport
0213,,Fleet,AthleteEntertainer,200PlusMiles,,PublicTransport
0214,,NonFleet,AthleteEntertainer,LessThan50Miles,01-Aug,PublicTransport
0215,,NonFleet,AthleteEntertainer,LessThan50Miles,Sep-20,PublicTransport
0216,,NonFleet,AthleteEntertainer,LessThan50Miles,21-60,PublicTransport
0217,,NonFleet,AthleteEntertainer,LessThan50Miles,over60,PublicTransport
0218,,NonFleet,AthleteEntertainer,LessThan50Miles,,PublicTransport
0219,,NonFleet,AthleteEntertainer,50-200Miles,01-Aug,PublicTransport
0220,,NonFleet,AthleteEntertainer,50-200Miles,Sep-20,PublicTransport
0221,,NonFleet,AthleteEntertainer,50-200Miles,21-60,PublicTransport
0222,,NonFleet,AthleteEntertainer,50-200Miles,over60,PublicTransport
0223,,NonFleet,AthleteEntertainer,50-200Miles,,PublicTransport
0224,,NonFleet,AthleteEntertainer,200PlusMiles,,PublicTransport
0225,,Fleet,AthleteEntertainer,LessThan50Miles,01-Aug,PublicTransport
0226,,Fleet,AthleteEntertainer,LessThan50Miles,Sep-20,PublicTransport
0227,,Fleet,AthleteEntertainer,LessThan50Miles,21-60,PublicTransport
0228,,Fleet,AthleteEntertainer,LessThan50Miles,over60,PublicTransport
0229,,Fleet,AthleteEntertainer,LessThan50Miles,,PublicTransport
0230,,Fleet,AthleteEntertainer,50-200Miles,01-Aug,PublicTransport
0231,,Fleet,AthleteEntertainer,50-200Miles,Sep-20,PublicTransport
0232,,Fleet,AthleteEntertainer,50-200Miles,21-60,PublicTransport
0233,,Fleet,AthleteEntertainer,50-200Miles,over60,PublicTransport
0234,,Fleet,AthleteEntertainer,50-200Miles,,PublicTransport
0235,,Fleet,OtherBus,200PlusMiles,,PublicTransport
0236,,NonFleet,OtherBus,LessThan50Miles,01-Aug,PublicTransport
0237,,NonFleet,OtherBus,LessThan50Miles,Sep-20,PublicTransport
0238,,NonFleet,OtherBus,LessThan50Miles,21-60,PublicTransport
0239,,NonFleet,OtherBus,LessThan50Miles,over60,PublicTransport
0240,,NonFleet,OtherBus,LessThan50Miles,,PublicTransport
0241,,NonFleet,OtherBus,50-200Miles,01-Aug,PublicTransport
0242,,NonFleet,OtherBus,50-200Miles,Sep-20,PublicTransport
0243,,NonFleet,OtherBus,50-200Miles,21-60,PublicTransport
0244,,NonFleet,OtherBus,50-200Miles,over60,PublicTransport
0245,,NonFleet,OtherBus,50-200Miles,,PublicTransport
0246,,NonFleet,OtherBus,200PlusMiles,,PublicTransport
0247,,Fleet,OtherBus,LessThan50Miles,01-Aug,PublicTransport
0248,,Fleet,OtherBus,LessThan50Miles,Sep-20,PublicTransport
0249,,Fleet,OtherBus,LessThan50Miles,21-60,PublicTransport
0250,,Fleet,OtherBus,LessThan50Miles,over60,PublicTransport
0251,,Fleet,OtherBus,LessThan50Miles,,PublicTransport
0252,,Fleet,OtherBus,50-200Miles,01-Aug,PublicTransport
0253,,Fleet,OtherBus,50-200Miles,Sep-20,PublicTransport
0254,,Fleet,OtherBus,50-200Miles,21-60,PublicTransport
0255,,Fleet,OtherBus,50-200Miles,over60,PublicTransport
0256,,Fleet,OtherBus,50-200Miles,,PublicTransport
0257,,,FarmLaborIncPassHaz,,,PublicTransport
0258,,,FarmLaborExcPassHaz,,,PublicTransport
0259,,Fleet,DistrictOwnedSchoolBus,200PlusMiles,01-Aug,PublicTransport
0260,,Fleet,DistrictOwnedSchoolBus,200PlusMiles,Sep-20,PublicTransport
0261,,Fleet,DistrictOwnedSchoolBus,200PlusMiles,21-60,PublicTransport
0262,,Fleet,DistrictOwnedSchoolBus,200PlusMiles,over60,PublicTransport
0263,,Fleet,DistrictOwnedSchoolBus,200PlusMiles,,PublicTransport
0264,,NonFleet,DistrictOwnedSchoolBus,LessThan50Miles,01-Aug,PublicTransport
0265,,NonFleet,DistrictOwnedSchoolBus,LessThan50Miles,Sep-20,PublicTransport
0266,,NonFleet,DistrictOwnedSchoolBus,LessThan50Miles,21-60,PublicTransport
0267,,NonFleet,DistrictOwnedSchoolBus,LessThan50Miles,over60,PublicTransport
0268,,NonFleet,DistrictOwnedSchoolBus,LessThan50Miles,,PublicTransport
0269,,NonFleet,DistrictOwnedSchoolBus,50-200Miles,01-Aug,PublicTransport
0270,,NonFleet,DistrictOwnedSchoolBus,50-200Miles,Sep-20,PublicTransport
0271,,NonFleet,DistrictOwnedSchoolBus,50-200Miles,21-60,PublicTransport
0272,,NonFleet,DistrictOwnedSchoolBus,50-200Miles,over60,PublicTransport
0273,,NonFleet,DistrictOwnedSchoolBus,50-200Miles,,PublicTransport
0274,,NonFleet,DistrictOwnedSchoolBus,200PlusMiles,01-Aug,PublicTransport
0275,,NonFleet,DistrictOwnedSchoolBus,200PlusMiles,Sep-20,PublicTransport
0276,,NonFleet,DistrictOwnedSchoolBus,200PlusMiles,21-60,PublicTransport
0277,,NonFleet,DistrictOwnedSchoolBus,200PlusMiles,over60,PublicTransport
0278,,NonFleet,DistrictOwnedSchoolBus,200PlusMiles,,PublicTransport
0279,,Fleet,DistrictOwnedSchoolBus,LessThan50Miles,01-Aug,PublicTransport
0280,,Fleet,DistrictOwnedSchoolBus,LessThan50Miles,Sep-20,PublicTransport
0281,,Fleet,DistrictOwnedSchoolBus,LessThan50Miles,21-60,PublicTransport
0282,,Fleet,DistrictOwnedSchoolBus,LessThan50Miles,over60,PublicTransport
0283,,Fleet,DistrictOwnedSchoolBus,LessThan50Miles,,PublicTransport
0284,,Fleet,DistrictOwnedSchoolBus,50-200Miles,01-Aug,PublicTransport
0285,,Fleet,DistrictOwnedSchoolBus,50-200Miles,Sep-20,PublicTransport
0286,,Fleet,DistrictOwnedSchoolBus,50-200Miles,21-60,PublicTransport
0287,,Fleet,DistrictOwnedSchoolBus,50-200Miles,over60,PublicTransport
0288,,Fleet,DistrictOwnedSchoolBus,50-200Miles,,PublicTransport
0289,,Fleet,OtherSchoolBus,200PlusMiles,01-Aug,PublicTransport
0290,,Fleet,OtherSchoolBus,200PlusMiles,Sep-20,PublicTransport
0291,,Fleet,OtherSchoolBus,200PlusMiles,21-60,PublicTransport
0292,,Fleet,OtherSchoolBus,200PlusMiles,over60,PublicTransport
0293,,Fleet,OtherSchoolBus,200PlusMiles,,PublicTransport
0294,,NonFleet,OtherSchoolBus,LessThan50Miles,01-Aug,PublicTransport
0295,,NonFleet,OtherSchoolBus,LessThan50Miles,Sep-20,PublicTransport
0296,,NonFleet,OtherSchoolBus,LessThan50Miles,21-60,PublicTransport
0297,,NonFleet,OtherSchoolBus,LessThan50Miles,over60,PublicTransport
0298,,NonFleet,OtherSchoolBus,LessThan50Miles,,PublicTransport
0299,,NonFleet,OtherSchoolBus,50-200Miles,01-Aug,PublicTransport
0300,,NonFleet,OtherSchoolBus,50-200Miles,Sep-20,PublicTransport
0301,,NonFleet,OtherSchoolBus,50-200Miles,21-60,PublicTransport
0302,,NonFleet,OtherSchoolBus,50-200Miles,over60,PublicTransport
0303,,NonFleet,OtherSchoolBus,50-200Miles,,PublicTransport
0304,,NonFleet,OtherSchoolBus,200PlusMiles,01-Aug,PublicTransport
0305,,NonFleet,OtherSchoolBus,200PlusMiles,Sep-20,PublicTransport
0306,,NonFleet,OtherSchoolBus,200PlusMiles,21-60,PublicTransport
0307,,NonFleet,OtherSchoolBus,200PlusMiles,over60,PublicTransport
0308,,NonFleet,OtherSchoolBus,200PlusMiles,,PublicTransport
0309,,Fleet,OtherSchoolBus,LessThan50Miles,01-Aug,PublicTransport
0310,,Fleet,OtherSchoolBus,LessThan50Miles,Sep-20,PublicTransport
0311,,Fleet,OtherSchoolBus,LessThan50Miles,21-60,PublicTransport
0312,,Fleet,OtherSchoolBus,LessThan50Miles,over60,PublicTransport
0313,,Fleet,OtherSchoolBus,LessThan50Miles,,PublicTransport
0314,,Fleet,OtherSchoolBus,50-200Miles,01-Aug,PublicTransport
0315,,Fleet,OtherSchoolBus,50-200Miles,Sep-20,PublicTransport
0316,,Fleet,OtherSchoolBus,50-200Miles,21-60,PublicTransport
0317,,Fleet,OtherSchoolBus,50-200Miles,over60,PublicTransport
0318,,Fleet,OtherSchoolBus,50-200Miles,,PublicTransport
0319,,Fleet,ChurchBus,200PlusMiles,01-Aug,PublicTransport
0320,,Fleet,ChurchBus,200PlusMiles,Sep-20,PublicTransport
0321,,Fleet,ChurchBus,200PlusMiles,21-60,PublicTransport
0322,,Fleet,ChurchBus,200PlusMiles,over60,PublicTransport
0323,,Fleet,ChurchBus,200PlusMiles,,PublicTransport
0324,,NonFleet,ChurchBus,LessThan50Miles,01-Aug,PublicTransport
0325,,NonFleet,ChurchBus,LessThan50Miles,Sep-20,PublicTransport
0326,,NonFleet,ChurchBus,LessThan50Miles,21-60,PublicTransport
0327,,NonFleet,ChurchBus,LessThan50Miles,over60,PublicTransport
0328,,NonFleet,ChurchBus,LessThan50Miles,,PublicTransport
0329,,NonFleet,ChurchBus,50-200Miles,01-Aug,PublicTransport
0330,,NonFleet,ChurchBus,50-200Miles,Sep-20,PublicTransport
0331,,NonFleet,ChurchBus,50-200Miles,21-60,PublicTransport
0332,,NonFleet,ChurchBus,50-200Miles,over60,PublicTransport
0333,,NonFleet,ChurchBus,50-200Miles,,PublicTransport
0334,,NonFleet,ChurchBus,200PlusMiles,01-Aug,PublicTransport
0335,,NonFleet,ChurchBus,200PlusMiles,Sep-20,PublicTransport
0336,,NonFleet,ChurchBus,200PlusMiles,21-60,PublicTransport
0337,,NonFleet,ChurchBus,200PlusMiles,over60,PublicTransport
0338,,NonFleet,ChurchBus,200PlusMiles,,PublicTransport
0339,,Fleet,ChurchBus,LessThan50Miles,01-Aug,PublicTransport
0340,,Fleet,ChurchBus,LessThan50Miles,Sep-20,PublicTransport
0341,,Fleet,ChurchBus,LessThan50Miles,21-60,PublicTransport
0342,,Fleet,ChurchBus,LessThan50Miles,over60,PublicTransport
0343,,Fleet,ChurchBus,LessThan50Miles,,PublicTransport
0344,,Fleet,ChurchBus,50-200Miles,01-Aug,PublicTransport
0345,,Fleet,ChurchBus,50-200Miles,Sep-20,PublicTransport
0346,,Fleet,ChurchBus,50-200Miles,21-60,PublicTransport
0347,,Fleet,ChurchBus,50-200Miles,over60,PublicTransport
0348,,Fleet,ChurchBus,50-200Miles,,PublicTransport
0349,,Fleet,SSA_Emp,200PlusMiles,,PublicTransport
0350,,NonFleet,SSA_Emp,LessThan50Miles,01-Aug,PublicTransport
0351,,NonFleet,SSA_Emp,LessThan50Miles,Sep-20,PublicTransport
0352,,NonFleet,SSA_Emp,LessThan50Miles,21-60,PublicTransport
0353,,NonFleet,SSA_Emp,LessThan50Miles,over60,PublicTransport
0354,,NonFleet,SSA_Emp,LessThan50Miles,,PublicTransport
0355,,NonFleet,SSA_Emp,50-200Miles,01-Aug,PublicTransport
0356,,NonFleet,SSA_Emp,50-200Miles,Sep-20,PublicTransport
0357,,NonFleet,SSA_Emp,50-200Miles,21-60,PublicTransport
0358,,NonFleet,SSA_Emp,50-200Miles,over60,PublicTransport
0359,,NonFleet,SSA_Emp,50-200Miles,,PublicTransport
0360,,NonFleet,SSA_Emp,200PlusMiles,,PublicTransport
0361,,Fleet,SSA_Emp,LessThan50Miles,01-Aug,PublicTransport
0362,,Fleet,SSA_Emp,LessThan50Miles,Sep-20,PublicTransport
0363,,Fleet,SSA_Emp,LessThan50Miles,21-60,PublicTransport
0364,,Fleet,SSA_Emp,LessThan50Miles,over60,PublicTransport
0365,,Fleet,SSA_Emp,LessThan50Miles,,PublicTransport
0366,,Fleet,SSA_Emp,50-200Miles,01-Aug,PublicTransport
0367,,Fleet,SSA_Emp,50-200Miles,Sep-20,PublicTransport
0368,,Fleet,SSA_Emp,50-200Miles,21-60,PublicTransport
0369,,Fleet,SSA_Emp,50-200Miles,over60,PublicTransport
0370,,Fleet,SSA_Emp,50-200Miles,,PublicTransport
0371,,Fleet,SSA_Other,200PlusMiles,,PublicTransport
0372,,NonFleet,SSA_Other,LessThan50Miles,01-Aug,PublicTransport
0373,,NonFleet,SSA_Other,LessThan50Miles,Sep-20,PublicTransport
0374,,NonFleet,SSA_Other,LessThan50Miles,21-60,PublicTransport
0375,,NonFleet,SSA_Other,LessThan50Miles,over60,PublicTransport
0376,,NonFleet,SSA_Other,LessThan50Miles,,PublicTransport
0377,,NonFleet,SSA_Other,50-200Miles,01-Aug,PublicTransport
0378,,NonFleet,SSA_Other,50-200Miles,Sep-20,PublicTransport
0379,,NonFleet,SSA_Other,50-200Miles,21-60,PublicTransport
0380,,NonFleet,SSA_Other,50-200Miles,over60,PublicTransport
0381,,NonFleet,SSA_Other,50-200Miles,,PublicTransport
0382,,NonFleet,SSA_Other,200PlusMiles,,PublicTransport
0383,,Fleet,SSA_Other,LessThan50Miles,01-Aug,PublicTransport
0384,,Fleet,SSA_Other,LessThan50Miles,Sep-20,PublicTransport
0385,,Fleet,SSA_Other,LessThan50Miles,21-60,PublicTransport
0386,,Fleet,SSA_Other,LessThan50Miles,over60,PublicTransport
